course_id,course_name,product_info,description,price,goal,dosage,result,side_effects,recommendations
sushka_1,"""Курс на сушку""","CUT MIX S200 (200mg/ml) - 1 флакон, Станозолол (10мг) - 100 табл., Кленбутерол (40мкг) - 100 табл.","""Интенсивный курс для снижения процента жира и повышения рельефности мышц.""",35000,"""Максимальное сжигание жира, повышение рельефности и сохранение мышечной массы.""","""CUT MIX: 1мл через день (8 недель).Станозолол: 40мг в день (6 недель).Кленбутерол: по схеме """"горка"""" с 20мкг до 120мкг.""","""Значительное снижение процента подкожного жира, выраженная венозность и жесткость мускулатуры. Сохранение силовых показателей на диете.""","""Повышение артериального давления, бессонница, акне, снижение выработки собственного тестостерона, нагрузка на печень (от станозолола).""","""Соблюдать строгую диету с дефицитом калорий. Пить много воды (3-4 литра в день). Обязательна мощная послекурсовая терапия (ПКТ) после курса."""
massa_1,"""Мощный курс""","Тестостерона Микс (250mg/ml) - 1 флакон, Нандролона Деканоат (250mg/ml) - 1 флакон, Метандиенон (10мг) - 100 табл.","""Комбинация для опытных атлетов для быстрого набора мышечной массы.""",45000,"""Быстрый и значительный набор мышечной массы и силы.""","""Тестостерон Микс: 500мг в неделю.Нандролон Деканоат: 400мг в неделю.Метандиенон: 30-40мг в день.""","""Прирост мышечной массы 8-12 кг за курс, взрывное увеличение силовых показателей на 20-30%.""","""Высокий риск гинекомастии, повышение давления, акне, значительная задержка жидкости, подавление оси ГГЯ.""","""Обязательно использовать ингибиторы ароматазы (Анастрозол) с начала курса. Питание с большим профицитом калорий. Требуется серьезная ПКТ."""
novichok_1,"""Курс для новичка""","Тестостерона Пропионат (100mg/ml) - 1 флакон, Туринабол (10мг) - 100 табл., Тамоксифен (20мг) - 30 табл.","""Отличный стартовый курс для качественного набора мышечной массы с минимальным риском.""",30000,"""Качественный набор сухой мышечной массы с минимальными рисками для начинающих.""","""Тестостерон Пропионат: 100мг через день (6 недель).Туринабол: 40мг в день (6 недель).Тамоксифен: используется для ПКТ, 20мг в день после окончания курса.""","""Прирост сухой мышечной массы 4-6 кг, умеренное увеличение силы, минимальный феномен """"отката"""" после курса.""","""Минимальны при соблюдении дозировок. Возможно легкое подавление выработки тестостерона, акне.""","""Идеально для первого знакомства с ААС. Следить за анализами до и после курса. Питание с умеренным профицитом калорий (300-500 ккал)."""
pro_1,"""Профессиональный курс""","Тестостерона Энантат (200mg/ml) - 1 флакон, Тренболона Ацетат (100mg/ml) - 1 флакон, Мастерона Пропионат (100mg/ml) - 1 флакон","""Максимальные результаты для профессиональных атлетов. Мощная комбинация для набора сухой мышечной массы.""",55000,"""Набор максимально сухой и качественной мышечной массы, рост силовых показателей.""","""Тестостерон Энантат: 400мг в неделю.Тренболон Ацетат: 300мг в неделю.Мастерон: 300мг в неделю.""","""Прирост 6-8 кг очень качественной массы, сжигание жира, выраженный рост силовых, агрессии на тренировках.""","""Трен-дик, высокое давление, акне, бессонница, сильное подавление эндогенного тестостерона.""","""Только для очень опытных атлетов. Обязателен прием каберголина для контроля пролактина. Строгий контроль анализов во время курса. Длительная ПКТ."""
women_1,"""Курс для женщин""","Анастрозол (1мг) - 100 табл., Кленбутерол (40мкг) - 100 табл., Винстрол (10мг) - 100 табл.","""Специальная подборка для женского организма. Безопасные и эффективные препараты для жиросжигания.""",38000,"""Жиросжигание, создание рельефного и подтянутого тела, повышение тонуса мышц у женщин.""","""Винстрол: 5-10мг в день.Кленбутерол: по схеме """"горка"""" до 80мкг.Анастрозол: используется только при необходимости и в минимальных дозировках.""","""Улучшение композиции тела, снижение процента жира, повышение плотности мышц.""","""Риск вирилизации (огрубение голоса, рост волос), нарушение менструального цикла, акне.""","""Начинать с минимальных дозировок и внимательно следить за реакцией организма. Курс должен быть коротким (4-6 недель). ПКТ не требуется, но нужно время на восстановление цикла."""
recovery_1,"""Восстановительный курс""","Гормон роста HGH (10 IU) - 1 упаковка, Нандролона Деканоат (250mg/ml) - 1 флакон, Нандролона Фенилпропионат (100mg/ml) - 1 флакон","""Быстрое восстановление после циклов, поддержка суставов и связок, улучшение качества кожи.""",42000,"""Восстановление после тяжелых курсов, лечение и профилактика травм суставов и связок, омоложение.""","""Гормон роста: 5-10 МЕ в день.Нандролон: 200-300мг в неделю (в терапевтических целях).""","""Улучшение сна, заживление травм, укрепление костной ткани, улучшение состояния кожи, волос и ногтей.""","""Туннельный синдром (от ГР), задержка жидкости, повышение уровня сахара в крови.""","""Курс для отдыха между основными циклами ААС или для возрастных атлетов. Контроль уровня глюкозы в крови обязателен."""
energy_1,"""Энергетический курс""","DMAA (10мг) - 100 табл., Кофеин (200мг) - 100 табл., Таурин (1000мг) - 100 табл.","""Максимальная энергия, выносливость и концентрация во время тренировок.""",32000,"""Повышение энергии, фокуса и производительности на тренировках. Используется как предтренировочный комплекс.""","""Принимать за 30-40 минут до тренировки.DMAA: 10-20мг.Кофеин: 200мг.Таурин: 1000мг.""","""Мощный всплеск энергии, повышение ментальной концентрации, снижение усталости.""","""Повышение ЧСС и давления, тремор, бессонница. Не использовать на постоянной основе.""","""Не принимать в вечернее время. Не превышать дозировки. Не подходит для людей с проблемами сердечно-сосудистой системы."""
definition_1,"""Курс на рельеф""","Винстрол (10мг) - 100 табл., Провирон (25мг) - 100 табл., Кленбутерол (40мкг) - 100 табл.","""Идеальная прорисовка мышц, венозность и жесткость мускулатуры.""",48000,"""Создание максимальной рельефности и жесткости мышц перед соревнованиями или пляжным сезоном.""","""Винстрол: 50мг в день.Провирон: 50мг в день.Кленбутерол: по схеме """"горка"""".""","""Экстремальная сухость, глубокая сепарация мышц, венозность. Повышение либидо от Провирона.""","""Нагрузка на печень, """"забитость"""" мышц, боли в суставах из-за вывода жидкости, повышение холестерина.""","""Пить много воды. Использовать гепатопротекторы. Обязательны добавки для поддержки суставов (глюкозамин, хондроитин, коллаген)."""
strength_1,"""Курс на силу""","Дианабол (10мг) - 100 табл., Анадрол (50мг) - 100 табл., Тестостерона Энантат (200mg/ml) - 1 флакон","""Увеличение силовых показателей и взрывной мощности.""",51000,"""Максимальное увеличение силовых показателей. Курс для пауэрлифтеров и силовиков.""","""Тестостерон Энантат: 500мг в неделю.Анадрол: 50мг в день (первые 4 недели).Дианабол: 30мг в день (первые 4-6 недель).""","""Резкий рост силовых во всех базовых упражнениях, увеличение массы за счет силы и задержки жидкости.""","""Очень высокая нагрузка на печень, экстремальное повышение давления, риск гинекомастии.""","""Один из самых """"грязных"""" и опасных курсов. Только для здоровых и опытных атлетов. Обязателен постоянный контроль давления и прием гепатопротекторов. """
endurance_1,"""Курс на выносливость""","Болденон (250mg/ml) - 1 флакон, Туринабол (25мг) - 100 табл., Кардарин (10мг) - 100 табл.","""Повышение выносливости и кардио-возможностей. Долгие интенсивные тренировки без усталости.""",36000,"""Значительное повышение мышечной выносливости и производительности в аэробных нагрузках.""","""Болденон: 400-600мг в неделю.Туринабол: 40мг в день.Кардарин: 10-20мг в день.""","""Повышение количества эритроцитов (улучшение кислородного транспорта), увеличение выносливости, умеренный рост качественной массы.""","""Повышение гематокрита (сгущение крови), акне. Кардарин имеет спорные исследования по безопасности.""","""Болденон - длинный эфир, курс должен быть не менее 10-12 недель. Необходимо следить за гематокритом и при необходимости делать донации крови."""
